club,aim_yards,mean_expected_strokes,birdie_rate,bogey_plus_avoidance,double_plus_avoidance,all_strokes
Driver,-20,3.0587380480709347,0.3,1.0,1.0,"[array(2.98214313), array(2.93093031), array(3.05383949), array(3.04208699), array(3.2105034), array(3.18075399), array(3.06836627), array(2.97027182), array(3.15853586), array(3.13489171), array(3.11450158), array(2.86844), array(3.18064884), array(3.09827981), array(3.01481326), array(2.90221743), array(3.13953154), array(3.05862234), array(3.09252833), array(2.97285486)]"
Driver,-19,3.0332639166486084,0.35,1.0,1.0,"[array(3.00787828), array(2.92255733), array(3.11446594), array(3.15133308), array(2.78414541), array(2.98173365), array(2.89749706), array(2.88793865), array(3.15835552), array(2.97856755), array(3.12968904), array(2.80145743), array(3.16337928), array(3.17415866), array(3.02192692), array(3.10155784), array(3.04829544), array(3.2075838), array(3.04435209), array(3.08840536)]"
Driver,-18,3.0298857313729903,0.3,1.0,1.0,"[array(3.16179445), array(2.83999227), array(3.07442595), array(3.1360614), array(2.97887479), array(3.05894041), array(3.10255512), array(3.02469508), array(2.94564294), array(2.88456366), array(3.17323759), array(3.05974261), array(3.11716782), array(3.00949516), array(2.90429128), array(3.08985497), array(3.03648489), array(2.96070823), array(3.00368103), array(3.03550498)]"
Driver,-17,2.9795463371084416,0.55,1.0,1.0,"[array(2.82434811), array(3.0839357), array(3.0285516), array(3.16821913), array(3.14389132), array(2.69668932), array(2.95019483), array(3.00244142), array(2.85742814), array(2.96341766), array(2.92721285), array(2.98071127), array(3.17823058), array(2.9366612), array(2.95864324), array(2.84569206), array(3.09155554), array(2.85168163), array(3.0489354), array(3.05248574)]"
Driver,-16,3.0407785139902086,0.4,1.0,1.0,"[array(2.97775084), array(2.84280819), array(3.03766105), array(3.10605725), array(2.92771474), array(2.85713999), array(2.96110923), array(3.10109306), array(2.953018), array(3.16936317), array(2.97183303), array(3.1021655), array(3.15194835), array(3.00921893), array(3.12798561), array(3.16102578), array(2.94071143), array(3.10986698), array(3.15026027), array(3.15683887)]"
Driver,-15,3.048931113594528,0.25,1.0,1.0,"[array(2.95967756), array(3.02121451), array(3.12752184), array(3.0243716), array(2.89925483), array(2.77107389), array(3.0682981), array(2.911707), array(3.07217322), array(3.16460772), array(3.01903925), array(3.18335786), array(3.18190515), array(3.09791166), array(3.13829893), array(3.14710923), array(2.75126662), array(3.10457707), array(3.15836422), array(3.17689201)]"
Driver,-14,3.0360836989456486,0.4,1.0,1.0,"[array(2.97266957), array(2.96100246), array(3.14727985), array(2.94741478), array(3.14432285), array(3.0215116), array(3.04797947), array(3.15122509), array(3.1092419), array(3.15330467), array(2.97997638), array(2.98655029), array(3.07547257), array(3.18268418), array(3.03170862), array(3.02968783), array(2.96343166), array(2.90483772), array(2.77042135), array(3.14095115)]"
Driver,-13,3.007254983937069,0.4,1.0,1.0,"[array(3.03787649), array(3.08175929), array(3.01381121), array(2.98436767), array(3.15222675), array(3.02747538), array(2.94666047), array(2.94703977), array(3.16051249), array(2.78841369), array(2.75565593), array(3.01479392), array(2.90289042), array(3.01325664), array(2.93293225), array(2.99628872), array(3.17682121), array(3.11662273), array(3.02782186), array(3.06787278)]"
Driver,-12,3.074941074821232,0.2,1.0,1.0,"[array(3.09107907), array(3.13026788), array(2.96648361), array(3.17606601), array(2.96830926), array(3.1015351), array(3.10324669), array(3.09474815), array(3.15000947), array(3.03043565), array(3.15422488), array(3.16707544), array(3.17563052), array(3.106542), array(3.00298119), array(3.04142844), array(3.07191133), array(2.98378259), array(3.10859614), array(2.87446806)]"
Driver,-11,2.9929292327121386,0.5,1.0,1.0,"[array(3.11895174), array(2.96511125), array(3.1512285), array(3.09735724), array(2.9323414), array(3.05650023), array(2.98215674), array(2.95796987), array(2.84562619), array(2.81234216), array(3.00428423), array(2.95113203), array(3.22551201), array(3.12677023), array(2.76508509), array(2.89621969), array(3.02452901), array(2.80413931), array(3.11002144), array(3.0313063)]"
Driver,-10,3.0206265579989355,0.4,1.0,1.0,"[array(2.95253241), array(3.05915368), array(3.12341678), array(2.9781425), array(2.90294966), array(3.15656595), array(3.02003065), array(3.0103259), array(3.16732464), array(3.16298904), array(2.83366495), array(3.1378946), array(2.92338063), array(2.71172406), array(3.15363434), array(3.06590554), array(2.8785855), array(3.15476466), array(2.99572061), array(3.02382508)]"
Driver,-9,3.0300686068378426,0.4,1.0,1.0,"[array(3.18141259), array(2.94502874), array(2.88562562), array(2.82644787), array(3.15372293), array(3.15898568), array(3.04793365), array(3.16300579), array(2.89625996), array(3.11022238), array(3.10780796), array(3.04002113), array(3.0753005), array(2.96907538), array(3.00936366), array(2.95602671), array(2.8509385), array(2.95598179), array(3.1579121), array(3.11029919)]"
Driver,-8,3.1077232237103694,0.2,1.0,1.0,"[array(3.13213184), array(3.16901017), array(2.97481136), array(3.11816694), array(2.96130533), array(3.2043609), array(3.15293459), array(3.05977101), array(3.17375469), array(3.16830204), array(3.18282995), array(3.16375092), array(3.04869427), array(3.07711092), array(2.98449348), array(3.22020124), array(2.9788738), array(3.15582324), array(3.06125936), array(3.16687843)]"
Driver,-7,3.0641942501924926,0.25,1.0,1.0,"[array(3.12201739), array(3.10646409), array(2.97949399), array(3.20101443), array(3.14696028), array(3.07293269), array(3.10537844), array(2.99995788), array(3.08293244), array(2.7277738), array(2.97870099), array(2.94702795), array(3.0613894), array(3.16942598), array(3.14231168), array(3.09229116), array(3.15205356), array(3.08739661), array(3.09980371), array(3.00855852)]"
Driver,-6,2.9879238690626884,0.45,1.0,1.0,"[array(2.77207728), array(3.05902707), array(3.12792633), array(2.71376707), array(3.15389208), array(2.81125437), array(2.98072515), array(3.15226307), array(3.06182051), array(2.9572402), array(2.92646254), array(3.05554451), array(3.01841133), array(3.00275817), array(2.86124827), array(3.1312891), array(3.15702337), array(2.97595824), array(3.01742105), array(2.82236767)]"
Driver,-5,3.0161828450487667,0.45,1.0,1.0,"[array(2.97614345), array(3.1277218), array(3.0912864), array(3.08327623), array(2.98810052), array(3.04276689), array(3.02850638), array(2.929268), array(2.79956518), array(2.93671537), array(3.07583276), array(3.10849746), array(2.97004545), array(3.09277137), array(2.92907749), array(3.10833429), array(2.88285039), array(2.77665353), array(3.23913271), array(3.13711123)]"
Driver,-4,3.0517313144905702,0.35,1.0,1.0,"[array(2.992455), array(3.17335408), array(3.06426767), array(3.22480787), array(3.16932182), array(2.99988037), array(2.91637264), array(3.05626202), array(2.92177482), array(3.08312467), array(3.06071968), array(3.05680184), array(2.98990024), array(2.98817014), array(3.15244264), array(2.95968555), array(3.07399963), array(3.021305), array(3.12933225), array(3.00064838)]"
Driver,-3,3.0382001548488433,0.3,1.0,1.0,"[array(2.87351876), array(3.03729624), array(3.04828786), array(3.08286413), array(2.92875293), array(3.1836329), array(2.96898536), array(2.74240082), array(3.11507773), array(3.12992717), array(3.13686136), array(3.21056746), array(3.0393566), array(2.96864091), array(3.08143482), array(3.03588017), array(2.92296717), array(3.14127107), array(3.05168625), array(3.06459337)]"
Driver,-2,2.985729095978017,0.5,1.0,1.0,"[array(3.02813444), array(2.98866158), array(3.08838418), array(2.92593686), array(2.86498567), array(3.23055923), array(3.1552585), array(3.20264459), array(2.73460339), array(3.04810478), array(3.14354713), array(2.76405705), array(2.92967102), array(2.70006158), array(2.83293705), array(3.08384307), array(3.06180506), array(3.20347868), array(2.82794538), array(2.89996267)]"
Driver,-1,2.9886401610196343,0.6,1.0,1.0,"[array(3.0688581), array(2.83303262), array(3.21452393), array(2.95556788), array(3.16225254), array(3.16406746), array(2.92017218), array(2.8892737), array(2.88950284), array(3.02928444), array(2.93509206), array(2.77694734), array(2.99336319), array(2.99406388), array(3.13492832), array(2.94572109), array(2.78057216), array(3.06339675), array(2.92717052), array(3.0950122)]"
Driver,0,2.99771418443808,0.5,1.0,1.0,"[array(3.07133883), array(3.18825208), array(3.15841648), array(3.10486034), array(3.17127496), array(2.71246044), array(3.14281964), array(2.84230735), array(2.93526994), array(2.99767239), array(3.15402284), array(2.97990229), array(2.9180094), array(2.82552208), array(3.01813792), array(2.87703995), array(2.83735026), array(2.81194144), array(3.04047719), array(3.16720785)]"
Driver,1,2.9408195944746347,0.65,1.0,1.0,"[array(2.95689627), array(2.91745633), array(3.02730924), array(2.98235348), array(2.91541594), array(2.77282937), array(3.09375168), array(3.02810233), array(2.77787967), array(2.79056212), array(2.79997764), array(2.86618996), array(2.89328839), array(2.90693808), array(3.08114945), array(3.02094489), array(3.15123917), array(2.93560967), array(3.00615104), array(2.89234715)]"
Driver,2,3.026373706037174,0.3,1.0,1.0,"[array(3.1144621), array(2.86322367), array(3.16319925), array(3.11479153), array(3.00923829), array(3.00718117), array(2.9028378), array(3.06916177), array(3.01051543), array(2.91196169), array(3.16177917), array(3.06917641), array(3.03915096), array(3.0939603), array(3.01724846), array(2.78234885), array(2.98620176), array(3.10517057), array(2.94829452), array(3.1575704)]"
Driver,3,2.9960425117836595,0.55,1.0,1.0,"[array(2.95302672), array(2.9686441), array(2.81293618), array(3.10884396), array(2.98817328), array(3.14361775), array(2.90136268), array(2.77942007), array(2.76627732), array(3.15175152), array(3.07181043), array(3.16981129), array(3.18290324), array(3.21583531), array(2.8564904), array(2.98806707), array(3.0645479), array(3.1944529), array(2.84555112), array(2.75732701)]"
Driver,4,3.0880571927311964,0.2,1.0,1.0,"[array(3.0171026), array(3.06463098), array(2.86831261), array(3.12339723), array(3.1905838), array(3.12271668), array(2.7270217), array(3.17387299), array(3.19513496), array(2.98305194), array(2.83494859), array(3.23436024), array(3.19727613), array(3.15762257), array(3.12697035), array(3.11255397), array(3.08171854), array(3.15301256), array(3.18668446), array(3.21017095)]"
Driver,5,3.0226547502759162,0.4,1.0,1.0,"[array(3.16283522), array(2.94713097), array(2.85295479), array(3.23992868), array(2.81487181), array(3.03958172), array(2.88245991), array(2.81348108), array(2.93772017), array(3.17471367), array(3.15791332), array(3.1032897), array(3.13380639), array(3.0498046), array(3.18074366), array(2.85273647), array(3.00312928), array(3.05896779), array(2.9622558), array(3.08476998)]"
Driver,6,3.02227763294604,0.5,1.0,1.0,"[array(2.97534052), array(2.9794821), array(3.14326356), array(2.82839752), array(3.17039801), array(3.20050417), array(3.05106995), array(2.86774327), array(2.98992583), array(2.92281307), array(3.1387782), array(3.07366003), array(2.81342952), array(3.07761337), array(2.94992251), array(3.15723847), array(3.09084775), array(2.8978966), array(3.17647486), array(2.94075333)]"
Driver,7,3.0666909707114884,0.3,1.0,1.0,"[array(3.18939394), array(3.0375723), array(2.9720202), array(3.03233322), array(2.99750938), array(2.89541889), array(3.16277849), array(3.22058762), array(3.09324172), array(2.97507374), array(2.94450032), array(2.94083429), array(3.07882086), array(3.17572042), array(3.03141442), array(3.13616287), array(3.02358515), array(3.15698937), array(3.09990902), array(3.16995321)]"
Driver,8,3.013684774838112,0.5,1.0,1.0,"[array(3.14013879), array(3.07213622), array(3.20099453), array(2.97746862), array(3.22579815), array(2.92360361), array(2.85045562), array(2.77444142), array(3.00495553), array(3.17430429), array(2.96135015), array(3.00776283), array(2.89051969), array(2.7984013), array(2.87108209), array(2.93277324), array(3.16293921), array(2.96823572), array(3.14699987), array(3.18933461)]"
Driver,9,3.0556066185309336,0.35,1.0,1.0,"[array(2.89335595), array(3.09588178), array(3.05853553), array(3.21001492), array(3.18994596), array(2.95861254), array(3.11961352), array(2.98305013), array(3.06399471), array(2.96218132), array(3.01094588), array(2.96822974), array(2.78932847), array(3.15147009), array(3.08363366), array(2.89462336), array(3.09714251), array(3.20492762), array(3.18774309), array(3.18890159)]"
Driver,10,3.0826042126595476,0.25,1.0,1.0,"[array(3.02371983), array(3.21098887), array(2.89404171), array(3.21439651), array(2.96215896), array(3.16816265), array(3.18658081), array(3.02583718), array(3.16911387), array(3.09009395), array(3.04370626), array(3.14030946), array(3.20794835), array(2.89631858), array(3.15548993), array(2.93916915), array(3.16865347), array(2.79394509), array(3.21302461), array(3.14842502)]"
Driver,11,3.0150111688451724,0.5,1.0,1.0,"[array(3.08601824), array(2.97606158), array(2.81074977), array(2.92590694), array(3.17072413), array(2.82290946), array(2.98155451), array(2.98556324), array(3.11072904), array(3.19039749), array(3.05420654), array(2.94631855), array(3.17374409), array(2.93123806), array(3.147735), array(3.03771489), array(3.0637268), array(2.90943255), array(2.87394236), array(3.10155014)]"
