x,y,N,tolerance,club_agreement,aim_agreement,median_aim,n_seeds
-40.0,50.0,10,1,0.95,0.11,14.0,100
-40.0,50.0,10,2,0.95,0.32,14.0,100
-40.0,50.0,10,3,0.95,0.32,14.0,100
-40.0,50.0,20,1,1.0,0.16,16.0,100
-40.0,50.0,20,2,1.0,0.42,16.0,100
-40.0,50.0,20,3,1.0,0.42,16.0,100
-40.0,50.0,30,1,1.0,0.13,16.0,100
-40.0,50.0,30,2,1.0,0.44,16.0,100
-40.0,50.0,30,3,1.0,0.44,16.0,100
-40.0,50.0,50,1,1.0,0.17,16.0,100
-40.0,50.0,50,2,1.0,0.51,16.0,100
-40.0,50.0,50,3,1.0,0.51,16.0,100
-40.0,50.0,100,1,1.0,0.21,18.0,100
-40.0,50.0,100,2,1.0,0.7,18.0,100
-40.0,50.0,100,3,1.0,0.7,18.0,100
-40.0,50.0,150,1,1.0,0.19,18.0,100
-40.0,50.0,150,2,1.0,0.7,18.0,100
-40.0,50.0,150,3,1.0,0.7,18.0,100
-40.0,50.0,200,1,1.0,0.24,18.0,100
-40.0,50.0,200,2,1.0,0.78,18.0,100
-40.0,50.0,200,3,1.0,0.78,18.0,100
-40.0,50.0,250,1,1.0,0.31,18.0,100
-40.0,50.0,250,2,1.0,0.83,18.0,100
-40.0,50.0,250,3,1.0,0.83,18.0,100
-40.0,50.0,300,1,1.0,0.27,18.0,100
-40.0,50.0,300,2,1.0,0.8,18.0,100
-40.0,50.0,300,3,1.0,0.8,18.0,100
-40.0,58.668052705684886,10,1,0.8,0.14,14.0,100
-40.0,58.668052705684886,10,2,0.8,0.36,14.0,100
-40.0,58.668052705684886,10,3,0.8,0.36,14.0,100
-40.0,58.668052705684886,20,1,0.99,0.14,16.0,100
-40.0,58.668052705684886,20,2,0.99,0.33,16.0,100
-40.0,58.668052705684886,20,3,0.99,0.33,16.0,100
-40.0,58.668052705684886,30,1,0.99,0.18,16.0,100
-40.0,58.668052705684886,30,2,0.99,0.45,16.0,100
-40.0,58.668052705684886,30,3,0.99,0.45,16.0,100
-40.0,58.668052705684886,50,1,1.0,0.16,16.0,100
-40.0,58.668052705684886,50,2,1.0,0.48,16.0,100
-40.0,58.668052705684886,50,3,1.0,0.48,16.0,100
-40.0,58.668052705684886,100,1,1.0,0.25,18.0,100
-40.0,58.668052705684886,100,2,1.0,0.79,18.0,100
-40.0,58.668052705684886,100,3,1.0,0.79,18.0,100
-40.0,58.668052705684886,150,1,1.0,0.24,18.0,100
-40.0,58.668052705684886,150,2,1.0,0.75,18.0,100
-40.0,58.668052705684886,150,3,1.0,0.75,18.0,100
-40.0,58.668052705684886,200,1,1.0,0.25,18.0,100
-40.0,58.668052705684886,200,2,1.0,0.84,18.0,100
-40.0,58.668052705684886,200,3,1.0,0.84,18.0,100
-40.0,58.668052705684886,250,1,1.0,0.52,20.0,100
-40.0,58.668052705684886,250,2,1.0,0.78,20.0,100
-40.0,58.668052705684886,250,3,1.0,0.78,20.0,100
-40.0,58.668052705684886,300,1,1.0,0.57,20.0,100
-40.0,58.668052705684886,300,2,1.0,0.79,20.0,100
-40.0,58.668052705684886,300,3,1.0,0.79,20.0,100
-40.0,67.33610541136977,10,1,0.69,0.26,15.0,100
-40.0,67.33610541136977,10,2,0.69,0.26,15.0,100
-40.0,67.33610541136977,10,3,0.69,0.55,15.0,100
-40.0,67.33610541136977,20,1,0.5,0.4,17.0,100
-40.0,67.33610541136977,20,2,0.5,0.4,17.0,100
-40.0,67.33610541136977,20,3,0.5,0.79,17.0,100
-40.0,67.33610541136977,30,1,0.53,0.23,18.0,100
-40.0,67.33610541136977,30,2,0.53,0.73,18.0,100
-40.0,67.33610541136977,30,3,0.53,0.73,18.0,100
-40.0,67.33610541136977,50,1,0.71,0.3,18.0,100
-40.0,67.33610541136977,50,2,0.71,0.78,18.0,100
-40.0,67.33610541136977,50,3,0.71,0.78,18.0,100
-40.0,67.33610541136977,100,1,0.78,0.24,18.0,100
-40.0,67.33610541136977,100,2,0.78,0.79,18.0,100
-40.0,67.33610541136977,100,3,0.78,0.79,18.0,100
-40.0,67.33610541136977,150,1,0.88,0.3,18.0,100
-40.0,67.33610541136977,150,2,0.88,0.86,18.0,100
-40.0,67.33610541136977,150,3,0.88,0.86,18.0,100
-40.0,67.33610541136977,200,1,0.89,0.24,18.0,100
-40.0,67.33610541136977,200,2,0.89,0.89,18.0,100
-40.0,67.33610541136977,200,3,0.89,0.89,18.0,100
-40.0,67.33610541136977,250,1,0.98,0.26,18.0,100
-40.0,67.33610541136977,250,2,0.98,0.88,18.0,100
-40.0,67.33610541136977,250,3,0.98,0.88,18.0,100
-40.0,67.33610541136977,300,1,0.98,0.51,20.0,100
-40.0,67.33610541136977,300,2,0.98,0.81,20.0,100
-40.0,67.33610541136977,300,3,0.98,0.81,20.0,100
-40.0,76.00415811705466,10,1,0.33,0.12,14.0,100
-40.0,76.00415811705466,10,2,0.33,0.3,14.0,100
-40.0,76.00415811705466,10,3,0.33,0.3,14.0,100
-40.0,76.00415811705466,20,1,0.58,0.18,18.0,100
-40.0,76.00415811705466,20,2,0.58,0.61,18.0,100
-40.0,76.00415811705466,20,3,0.58,0.61,18.0,100
-40.0,76.00415811705466,30,1,0.76,0.19,18.0,100
-40.0,76.00415811705466,30,2,0.76,0.7,18.0,100
-40.0,76.00415811705466,30,3,0.76,0.7,18.0,100
-40.0,76.00415811705466,50,1,0.82,0.21,18.0,100
-40.0,76.00415811705466,50,2,0.82,0.77,18.0,100
-40.0,76.00415811705466,50,3,0.82,0.77,18.0,100
-40.0,76.00415811705466,100,1,0.94,0.24,18.0,100
-40.0,76.00415811705466,100,2,0.94,0.9,18.0,100
-40.0,76.00415811705466,100,3,0.94,0.9,18.0,100
-40.0,76.00415811705466,150,1,1.0,0.56,20.0,100
-40.0,76.00415811705466,150,2,1.0,0.78,20.0,100
-40.0,76.00415811705466,150,3,1.0,0.78,20.0,100
-40.0,76.00415811705466,200,1,1.0,0.58,20.0,100
-40.0,76.00415811705466,200,2,1.0,0.86,20.0,100
-40.0,76.00415811705466,200,3,1.0,0.86,20.0,100
-40.0,76.00415811705466,250,1,1.0,0.58,20.0,100
-40.0,76.00415811705466,250,2,1.0,0.8,20.0,100
-40.0,76.00415811705466,250,3,1.0,0.8,20.0,100
-40.0,76.00415811705466,300,1,1.0,0.55,20.0,100
-40.0,76.00415811705466,300,2,1.0,0.82,20.0,100
-40.0,76.00415811705466,300,3,1.0,0.82,20.0,100
-40.0,84.67221082273954,10,1,0.53,0.18,16.0,100
-40.0,84.67221082273954,10,2,0.53,0.45,16.0,100
-40.0,84.67221082273954,10,3,0.53,0.45,16.0,100
-40.0,84.67221082273954,20,1,0.71,0.11,16.0,100
-40.0,84.67221082273954,20,2,0.71,0.46,16.0,100
-40.0,84.67221082273954,20,3,0.71,0.46,16.0,100
-40.0,84.67221082273954,30,1,0.75,0.19,18.0,100
-40.0,84.67221082273954,30,2,0.75,0.7,18.0,100
-40.0,84.67221082273954,30,3,0.75,0.7,18.0,100
-40.0,84.67221082273954,50,1,0.89,0.2,18.0,100
-40.0,84.67221082273954,50,2,0.89,0.76,18.0,100
-40.0,84.67221082273954,50,3,0.89,0.76,18.0,100
-40.0,84.67221082273954,100,1,0.95,0.22,18.0,100
-40.0,84.67221082273954,100,2,0.95,0.8,18.0,100
-40.0,84.67221082273954,100,3,0.95,0.8,18.0,100
-40.0,84.67221082273954,150,1,0.98,0.52,20.0,100
-40.0,84.67221082273954,150,2,0.98,0.78,20.0,100
-40.0,84.67221082273954,150,3,0.98,0.78,20.0,100
-40.0,84.67221082273954,200,1,0.99,0.32,18.0,100
-40.0,84.67221082273954,200,2,0.99,0.91,18.0,100
-40.0,84.67221082273954,200,3,0.99,0.91,18.0,100
-40.0,84.67221082273954,250,1,0.98,0.54,20.0,100
-40.0,84.67221082273954,250,2,0.98,0.83,20.0,100
-40.0,84.67221082273954,250,3,0.98,0.83,20.0,100
-40.0,84.67221082273954,300,1,1.0,0.56,20.0,100
-40.0,84.67221082273954,300,2,1.0,0.82,20.0,100
-40.0,84.67221082273954,300,3,1.0,0.82,20.0,100
-40.0,93.34026352842444,10,1,0.58,0.17,16.0,100
-40.0,93.34026352842444,10,2,0.58,0.46,16.0,100
-40.0,93.34026352842444,10,3,0.58,0.46,16.0,100
-40.0,93.34026352842444,20,1,0.54,0.22,18.0,100
-40.0,93.34026352842444,20,2,0.54,0.73,18.0,100
-40.0,93.34026352842444,20,3,0.54,0.73,18.0,100
-40.0,93.34026352842444,30,1,0.59,0.29,18.0,100
-40.0,93.34026352842444,30,2,0.59,0.82,18.0,100
-40.0,93.34026352842444,30,3,0.59,0.82,18.0,100
-40.0,93.34026352842444,50,1,0.74,0.28,18.0,100
-40.0,93.34026352842444,50,2,0.74,0.82,18.0,100
-40.0,93.34026352842444,50,3,0.74,0.82,18.0,100
-40.0,93.34026352842444,100,1,0.79,0.55,20.0,100
-40.0,93.34026352842444,100,2,0.79,0.78,20.0,100
-40.0,93.34026352842444,100,3,0.79,0.78,20.0,100
-40.0,93.34026352842444,150,1,0.86,0.63,20.0,100
-40.0,93.34026352842444,150,2,0.86,0.88,20.0,100
-40.0,93.34026352842444,150,3,0.86,0.88,20.0,100
-40.0,93.34026352842444,200,1,0.91,0.63,20.0,100
-40.0,93.34026352842444,200,2,0.91,0.9,20.0,100
-40.0,93.34026352842444,200,3,0.91,0.9,20.0,100
-40.0,93.34026352842444,250,1,0.92,0.72,20.0,100
-40.0,93.34026352842444,250,2,0.92,0.91,20.0,100
-40.0,93.34026352842444,250,3,0.92,0.91,20.0,100
-40.0,93.34026352842444,300,1,0.93,0.75,20.0,100
-40.0,93.34026352842444,300,2,0.93,0.92,20.0,100
