seed,N_from,N_to,N,tolerance,match_rate
0,10,20,20,1,38.92857142857143
0,10,20,20,2,46.42857142857143
0,10,20,20,3,46.42857142857143
0,20,30,30,1,47.85714285714286
0,20,30,30,2,58.214285714285715
0,20,30,30,3,58.214285714285715
0,30,50,50,1,51.42857142857142
0,30,50,50,2,62.857142857142854
0,30,50,50,3,62.857142857142854
0,50,100,100,1,49.642857142857146
0,50,100,100,2,65.0
0,50,100,100,3,65.0
0,100,150,150,1,63.57142857142857
0,100,150,150,2,73.21428571428571
0,100,150,150,3,73.21428571428571
0,150,200,200,1,67.85714285714286
0,150,200,200,2,80.35714285714286
0,150,200,200,3,80.35714285714286
0,200,250,250,1,70.71428571428572
0,200,250,250,2,80.0
0,200,250,250,3,80.0
0,250,300,300,1,77.14285714285715
0,250,300,300,2,85.71428571428571
0,250,300,300,3,85.71428571428571
1,10,20,20,1,35.0
1,10,20,20,2,47.14285714285714
1,10,20,20,3,47.14285714285714
1,20,30,30,1,56.42857142857143
1,20,30,30,2,65.0
1,20,30,30,3,65.0
1,30,50,50,1,49.642857142857146
1,30,50,50,2,60.71428571428571
1,30,50,50,3,60.71428571428571
1,50,100,100,1,50.357142857142854
1,50,100,100,2,65.35714285714286
1,50,100,100,3,65.35714285714286
1,100,150,150,1,59.64285714285714
1,100,150,150,2,74.28571428571429
1,100,150,150,3,74.28571428571429
1,150,200,200,1,67.14285714285714
1,150,200,200,2,77.85714285714286
1,150,200,200,3,77.85714285714286
1,200,250,250,1,72.85714285714285
1,200,250,250,2,81.42857142857143
1,200,250,250,3,81.42857142857143
1,250,300,300,1,76.07142857142857
1,250,300,300,2,82.14285714285714
1,250,300,300,3,82.14285714285714
2,10,20,20,1,30.714285714285715
2,10,20,20,2,41.07142857142857
2,10,20,20,3,41.07142857142857
2,20,30,30,1,49.642857142857146
2,20,30,30,2,59.64285714285714
2,20,30,30,3,59.64285714285714
2,30,50,50,1,51.42857142857142
2,30,50,50,2,63.21428571428571
2,30,50,50,3,63.21428571428571
2,50,100,100,1,51.07142857142857
2,50,100,100,2,65.71428571428571
2,50,100,100,3,65.71428571428571
2,100,150,150,1,59.64285714285714
2,100,150,150,2,74.64285714285714
2,100,150,150,3,74.64285714285714
2,150,200,200,1,70.35714285714286
2,150,200,200,2,82.5
2,150,200,200,3,82.5
2,200,250,250,1,68.92857142857143
2,200,250,250,2,84.28571428571429
2,200,250,250,3,84.28571428571429
