x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
-40.0,50.0,10,0.95,0.17,0.16,100
-40.0,58.668052705684886,10,0.8,0.17,0.14,100
-40.0,67.33610541136977,10,0.69,0.18,0.15,100
-40.0,76.00415811705466,10,0.33,0.21,0.11,100
-40.0,84.67221082273954,10,0.53,0.25,0.12,100
-40.0,93.34026352842444,10,0.58,0.25,0.17,100
-40.0,102.00831623410932,10,0.91,0.15,0.15,100
-40.0,110.67636893979422,10,0.99,0.13,0.13,100
-40.0,119.3444216454791,10,0.96,0.16,0.15,100
-40.0,128.01247435116397,10,0.97,0.15,0.15,100
-40.0,136.68052705684886,10,0.98,0.17,0.17,100
-40.0,145.34857976253377,10,0.9,0.17,0.16,100
-40.0,154.01663246821866,10,0.92,0.15,0.14,100
-40.0,162.68468517390357,10,0.79,0.14,0.12,100
-40.0,171.35273787958843,10,0.86,0.12,0.1,100
-40.0,180.02079058527332,10,0.82,0.2,0.19,100
-40.0,188.6888432909582,10,0.7,0.16,0.12,100
-40.0,197.3568959966431,10,0.97,0.14,0.14,100
-40.0,206.024948702328,10,0.68,0.17,0.1,100
-40.0,214.6930014080129,10,0.94,0.18,0.17,100
-40.0,223.36105411369775,10,0.8,0.19,0.15,100
-40.0,232.02910681938263,10,0.85,0.23,0.2,100
-40.0,240.69715952506752,10,0.45,0.18,0.09,100
-40.0,249.3652122307524,10,0.7,0.21,0.16,100
-40.0,258.0332649364373,10,0.9,0.23,0.23,100
-40.0,266.7013176421222,10,0.92,0.22,0.21,100
-40.0,275.3693703478071,10,0.91,0.32,0.29,100
-40.0,284.037423053492,10,0.53,0.24,0.18,100
-28.88888888888889,50.0,10,0.95,0.2,0.2,100
-28.88888888888889,58.668052705684886,10,0.57,0.16,0.09,100
-28.88888888888889,67.33610541136977,10,0.71,0.2,0.17,100
-28.88888888888889,76.00415811705466,10,0.64,0.22,0.11,100
-28.88888888888889,84.67221082273954,10,0.56,0.24,0.16,100
-28.88888888888889,93.34026352842444,10,0.49,0.21,0.13,100
-28.88888888888889,102.00831623410932,10,0.93,0.12,0.12,100
-28.88888888888889,110.67636893979422,10,0.95,0.16,0.16,100
-28.88888888888889,119.3444216454791,10,0.93,0.17,0.17,100
-28.88888888888889,128.01247435116397,10,0.93,0.13,0.13,100
-28.88888888888889,136.68052705684886,10,0.99,0.17,0.17,100
-28.88888888888889,145.34857976253377,10,0.93,0.2,0.19,100
-28.88888888888889,154.01663246821866,10,0.94,0.14,0.13,100
-28.88888888888889,162.68468517390357,10,0.85,0.13,0.11,100
-28.88888888888889,171.35273787958843,10,0.82,0.28,0.25,100
-28.88888888888889,180.02079058527332,10,0.8,0.16,0.13,100
-28.88888888888889,188.6888432909582,10,0.97,0.15,0.14,100
-28.88888888888889,197.3568959966431,10,0.8,0.19,0.17,100
-28.88888888888889,206.024948702328,10,0.54,0.17,0.1,100
-28.88888888888889,214.6930014080129,10,0.91,0.2,0.2,100
-28.88888888888889,223.36105411369775,10,0.91,0.18,0.16,100
-28.88888888888889,232.02910681938263,10,0.87,0.17,0.15,100
-28.88888888888889,240.69715952506752,10,0.58,0.23,0.12,100
-28.88888888888889,249.3652122307524,10,0.63,0.23,0.18,100
-28.88888888888889,258.0332649364373,10,0.67,0.19,0.18,100
-28.88888888888889,266.7013176421222,10,0.71,0.36,0.25,100
-28.88888888888889,275.3693703478071,10,0.75,0.23,0.23,100
-28.88888888888889,284.037423053492,10,0.96,0.35,0.34,100
-17.77777777777778,50.0,10,0.88,0.2,0.17,100
-17.77777777777778,58.668052705684886,10,0.59,0.25,0.19,100
-17.77777777777778,67.33610541136977,10,0.51,0.26,0.1,100
-17.77777777777778,76.00415811705466,10,0.77,0.27,0.2,100
-17.77777777777778,84.67221082273954,10,0.63,0.23,0.15,100
-17.77777777777778,93.34026352842444,10,0.48,0.22,0.13,100
-17.77777777777778,102.00831623410932,10,0.94,0.11,0.11,100
-17.77777777777778,110.67636893979422,10,0.93,0.18,0.18,100
-17.77777777777778,119.3444216454791,10,0.93,0.14,0.14,100
-17.77777777777778,128.01247435116397,10,0.96,0.14,0.14,100
-17.77777777777778,136.68052705684886,10,1.0,0.15,0.15,100
-17.77777777777778,145.34857976253377,10,0.9,0.14,0.14,100
-17.77777777777778,154.01663246821866,10,0.96,0.17,0.17,100
-17.77777777777778,162.68468517390357,10,0.89,0.12,0.1,100
-17.77777777777778,171.35273787958843,10,0.74,0.21,0.16,100
-17.77777777777778,180.02079058527332,10,0.8,0.15,0.12,100
-17.77777777777778,188.6888432909582,10,0.98,0.14,0.14,100
-17.77777777777778,197.3568959966431,10,0.78,0.14,0.12,100
-17.77777777777778,206.024948702328,10,0.98,0.21,0.21,100
-17.77777777777778,214.6930014080129,10,0.64,0.2,0.17,100
-17.77777777777778,223.36105411369775,10,0.53,0.18,0.1,100
-17.77777777777778,232.02910681938263,10,0.55,0.16,0.1,100
-17.77777777777778,240.69715952506752,10,0.64,0.26,0.21,100
-17.77777777777778,249.3652122307524,10,0.88,0.23,0.23,100
-17.77777777777778,258.0332649364373,10,0.92,0.29,0.28,100
-17.77777777777778,266.7013176421222,10,1.0,0.36,0.36,100
-17.77777777777778,275.3693703478071,10,1.0,0.38,0.38,100
-17.77777777777778,284.037423053492,10,0.91,0.38,0.37,100
-6.666666666666671,50.0,10,0.72,0.18,0.12,100
-6.666666666666671,58.668052705684886,10,0.81,0.19,0.17,100
-6.666666666666671,67.33610541136977,10,0.54,0.21,0.11,100
-6.666666666666671,76.00415811705466,10,0.71,0.2,0.15,100
-6.666666666666671,84.67221082273954,10,0.64,0.22,0.16,100
-6.666666666666671,93.34026352842444,10,0.47,0.18,0.09,100
-6.666666666666671,102.00831623410932,10,0.87,0.12,0.12,100
-6.666666666666671,110.67636893979422,10,0.88,0.17,0.16,100
-6.666666666666671,119.3444216454791,10,0.9,0.26,0.24,100
-6.666666666666671,128.01247435116397,10,0.99,0.15,0.15,100
-6.666666666666671,136.68052705684886,10,1.0,0.15,0.15,100
-6.666666666666671,145.34857976253377,10,0.53,0.11,0.08,100
-6.666666666666671,154.01663246821866,10,0.81,0.16,0.15,100
-6.666666666666671,162.68468517390357,10,0.58,0.15,0.09,100
-6.666666666666671,171.35273787958843,10,0.83,0.18,0.13,100
-6.666666666666671,180.02079058527332,10,0.76,0.16,0.12,100
-6.666666666666671,188.6888432909582,10,0.87,0.21,0.2,100
-6.666666666666671,197.3568959966431,10,0.73,0.17,0.09,100
-6.666666666666671,206.024948702328,10,0.9,0.14,0.13,100
-6.666666666666671,214.6930014080129,10,0.86,0.17,0.15,100
