N,match_rate_pct,seed
10,,0
20,11.07,0
30,13.93,0
40,16.07,0
10,,0
20,38.93,0
30,47.86,0
40,57.5,0
50,68.21,0
60,68.57,0
70,73.21,0
80,75.71,0
90,75.36,0
100,78.57,0
110,80.71,0
120,78.93,0
130,84.29,0
140,86.43,0
150,85.0,0
160,82.5,0
170,84.29,0
180,80.36,0
190,85.0,0
200,86.79,0
210,82.5,0
220,85.0,0
230,90.71,0
240,87.86,0
250,90.0,0
260,92.14,0
270,88.57,0
280,89.64,0
290,86.43,0
300,87.14,0
10,,1
20,9.29,1
30,11.07,1
40,10.36,1
10,,1
20,35.0,1
30,56.43,1
40,60.36,1
50,67.5,1
60,71.43,1
70,70.71,1
80,73.57,1
90,76.07,1
100,77.86,1
110,77.14,1
120,79.64,1
130,81.07,1
140,78.21,1
150,84.29,1
160,84.64,1
170,85.36,1
180,83.57,1
190,86.07,1
200,86.79,1
210,85.36,1
220,84.29,1
230,83.57,1
240,86.43,1
250,88.21,1
260,88.57,1
270,85.71,1
280,87.5,1
290,90.71,1
300,89.64,1
10,,2
20,5.71,2
30,10.36,2
40,10.71,2
10,,2
20,30.71,2
30,49.64,2
40,57.86,2
50,64.64,2
60,67.86,2
70,72.86,2
80,75.0,2
90,73.93,2
100,78.21,2
110,79.64,2
120,76.79,2
130,76.79,2
140,81.07,2
150,77.86,2
160,83.21,2
170,84.29,2
180,87.14,2
190,84.64,2
200,83.57,2
210,83.21,2
220,83.21,2
230,85.71,2
240,86.07,2
250,87.14,2
260,90.0,2
270,90.36,2
280,88.57,2
290,89.64,2
300,90.0,2
10,,3
20,10.0,3
30,12.14,3
40,14.29,3
10,,3
20,41.79,3
30,53.21,3
40,55.71,3
50,61.07,3
60,71.43,3
70,71.07,3
80,72.14,3
90,76.43,3
100,73.57,3
110,78.93,3
120,77.14,3
130,79.29,3
140,83.21,3
150,83.93,3
160,84.64,3
170,82.86,3
180,88.93,3
190,87.5,3
200,88.93,3
210,87.5,3
220,88.57,3
230,87.14,3
240,85.36,3
250,88.57,3
260,85.36,3
270,89.29,3
280,90.71,3
290,91.07,3
300,87.5,3
10,,4
20,10.71,4
30,12.5,4
40,14.64,4
10,,4
20,35.71,4
30,52.86,4
40,62.86,4
50,63.93,4
60,66.43,4
70,66.79,4
80,73.57,4
90,74.64,4
100,76.07,4
110,78.57,4
120,80.71,4
130,82.5,4
140,83.21,4
150,82.5,4
160,79.29,4
170,84.29,4
180,85.36,4
190,83.93,4
200,86.43,4
210,85.36,4
220,85.0,4
230,86.43,4
240,84.64,4
250,88.21,4
260,90.0,4
270,88.57,4
280,88.93,4
290,84.64,4
300,88.21,4
10,,5
20,11.79,5
30,11.43,5
40,16.07,5
10,,5
20,36.43,5
30,51.07,5
40,57.14,5
50,66.79,5
60,66.79,5
70,70.36,5
80,72.86,5
90,73.21,5
100,75.71,5
110,79.29,5
120,80.36,5
130,80.71,5
140,86.07,5
150,86.07,5
160,82.14,5
170,85.0,5
180,83.21,5
190,86.07,5
200,81.07,5
210,84.64,5
220,87.14,5
230,85.71,5
240,87.5,5
250,88.21,5
260,88.93,5
270,85.0,5
280,91.07,5
290,87.14,5
300,88.57,5
10,,6
20,6.43,6
30,14.29,6
40,13.93,6
10,,6
20,34.29,6
30,52.14,6
40,59.64,6
50,64.64,6
60,68.57,6
70,68.21,6
80,71.07,6
90,76.07,6
100,76.43,6
110,81.43,6
120,82.14,6
130,83.21,6
140,82.5,6
150,84.29,6
160,86.07,6
170,88.21,6
180,85.71,6
190,85.36,6
200,87.5,6
210,87.5,6
220,87.14,6
230,86.07,6
240,89.29,6
250,89.64,6
260,87.14,6
270,87.14,6
280,89.29,6
290,89.64,6
300,91.07,6
