x,y,N,club_1,aim_1,esho_1,se_1,freq_1,club_2,aim_2,esho_2,freq_2,delta_esho,functionally_equivalent
-40.0,50.0,10,Driver,18,3.959923580288887,0.03897957739867885,16,Driver,20,3.9566883674034705,13,0.003235212885416505,True
-40.0,50.0,20,Driver,18,4.009385716915131,0.05787450014752942,20,Driver,20,3.988326170865227,17,0.021059546049903677,True
-40.0,50.0,30,Driver,18,4.039781434195382,0.055531789606804126,21,Driver,20,4.022078093360452,17,0.01770334083493008,True
-40.0,50.0,50,Driver,18,4.054493568160317,0.044525628480376826,22,Driver,16,4.054345944348504,17,0.00014762381181299133,True
-40.0,50.0,100,Driver,20,4.078033413205828,0.03550247386658721,35,Driver,18,4.075410354705084,21,0.002623058500744513,True
-40.0,50.0,150,Driver,20,4.0798519187503395,0.02932358129691819,36,Driver,18,4.083035569441946,19,0.00318365069160631,True
-40.0,50.0,200,Driver,20,4.081948292882819,0.02561019457969499,38,Driver,18,4.089665899674098,24,0.007717606791278975,True
-40.0,50.0,250,Driver,20,4.08340322630746,0.023052837662703166,35,Driver,18,4.095641743752264,31,0.01223851744480342,True
-40.0,50.0,300,Driver,20,4.089848634524223,0.021299397049457536,39,Driver,18,4.094925597861961,27,0.005076963337737439,True
-40.0,58.668052705684886,10,Driver,20,3.973038809640067,0.04060639421048876,14,Driver,14,3.9862503788687964,11,0.01321156922872957,True
-40.0,58.668052705684886,20,Driver,20,3.99237873004033,0.03341140669544663,26,Driver,18,3.9993400062833513,14,0.0069612762430213415,True
-40.0,58.668052705684886,30,Driver,20,4.00433910369873,0.03308054374872686,25,Driver,18,4.007458972930908,20,0.0031198692321776633,True
-40.0,58.668052705684886,50,Driver,18,4.021088589792666,0.026685050381284756,23,Driver,20,4.008623796960582,23,0.012464792832084015,True
-40.0,58.668052705684886,100,Driver,20,4.035144847631455,0.022731849679268615,40,Driver,18,4.0398508644104005,25,0.004706016778945887,True
-40.0,58.668052705684886,150,Driver,20,4.040416204012358,0.019596403495426868,39,Driver,18,4.044969489177068,24,0.004553285164710097,True
-40.0,58.668052705684886,200,Driver,20,4.045260302874507,0.017424391389100954,49,Driver,18,4.048301620483398,25,0.0030413176088917027,True
-40.0,58.668052705684886,250,Driver,20,4.046025876815502,0.01559089899014539,52,Driver,18,4.049865667636578,26,0.0038397908210754395,True
-40.0,58.668052705684886,300,Driver,20,4.047042399122004,0.014310345410720014,57,Driver,18,4.052842757918618,22,0.005800358796613558,True
-40.0,67.33610541136977,10,3-wood,20,3.9544262886047363,0.03862322209668505,15,3-wood,14,3.9725961685180664,11,0.018169879913330078,True
-40.0,67.33610541136977,20,3-wood,20,3.9803991317749023,0.042142172340338034,17,Driver,18,4.008759722990148,17,0.02836059121524581,True
-40.0,67.33610541136977,30,3-wood,20,3.993086727041947,0.04121981995517928,19,Driver,18,4.024734899401665,16,0.03164817235971773,True
-40.0,67.33610541136977,50,Driver,18,4.042125442753667,0.021372726779263704,23,Driver,20,4.0317122255052835,21,0.01041321724838351,True
-40.0,67.33610541136977,100,Driver,20,4.044476662912676,0.016271220112430245,31,Driver,18,4.047667641388743,19,0.0031909784760664195,True
-40.0,67.33610541136977,150,Driver,20,4.049948966864384,0.013584833753704686,33,Driver,18,4.0520007610321045,29,0.002051794167720722,True
-40.0,67.33610541136977,200,Driver,20,4.053033822774887,0.01219002195736968,40,Driver,18,4.0567140479882555,24,0.0036802252133680824,True
-40.0,67.33610541136977,250,Driver,20,4.055640479351612,0.01089488476519238,47,Driver,18,4.0581865310668945,26,0.002546051715282438,True
-40.0,67.33610541136977,300,Driver,20,4.057182831764221,0.009993764440710153,50,Driver,18,4.059373781598848,29,0.002190949834626643,True
-40.0,76.00415811705466,10,3-wood,20,3.9451304349032315,0.03609368105652459,11,Hybrid,20,3.936812707356044,7,0.008317727547187292,True
-40.0,76.00415811705466,20,3-wood,20,3.9842941035395083,0.028027157103135577,23,3-wood,12,3.9998726844787598,9,0.015578580939251463,True
-40.0,76.00415811705466,30,3-wood,20,3.997317261166043,0.02742363946344665,27,3-wood,18,3.9942696277911844,13,0.0030476333748583606,True
-40.0,76.00415811705466,50,3-wood,20,4.0168745839917985,0.026128527256007575,37,3-wood,18,4.017813631466457,14,0.0009390474746586719,True
-40.0,76.00415811705466,100,3-wood,20,4.029914911757124,0.020398645185004255,47,3-wood,18,4.031163799762726,20,0.0012488880056018559,True
-40.0,76.00415811705466,150,3-wood,20,4.035133613007409,0.016963971069054333,56,3-wood,18,4.0367491678758105,22,0.0016155548684011478,True
-40.0,76.00415811705466,200,3-wood,20,4.035619201331303,0.014787519159751662,58,3-wood,18,4.039624026843479,28,0.004004825512176069,True
-40.0,76.00415811705466,250,3-wood,20,4.038105537151468,0.01349187032551738,58,3-wood,18,4.0417714444073765,22,0.0036659072559084294,True
-40.0,76.00415811705466,300,3-wood,20,4.038008772243153,0.012394321803684875,55,3-wood,18,4.044745904427987,27,0.006737132184834849,True
-40.0,84.67221082273954,10,Hybrid,20,3.903866708278656,0.03302761790766918,12,4 Iron,20,3.918575178493153,11,0.014708470214496838,True
-40.0,84.67221082273954,20,Hybrid,20,3.9436399028414773,0.035126821340009176,21,Hybrid,18,3.954369902610779,12,0.010729999769301557,True
-40.0,84.67221082273954,30,Hybrid,20,3.956045808792114,0.03452934301585329,25,Hybrid,18,3.967095579419817,14,0.011049770627702848,True
-40.0,84.67221082273954,50,Hybrid,20,3.9817363059881963,0.03264417360861877,33,Hybrid,18,3.983637571334839,18,0.0019012653466425888,True
-40.0,84.67221082273954,100,Hybrid,20,3.996584756954296,0.026004326048834778,37,Hybrid,18,3.992347550392151,20,0.004237206562144991,True
-40.0,84.67221082273954,150,Hybrid,20,4.001658453941345,0.021726030511937496,50,Hybrid,18,4.002397344662593,26,0.0007388907212479978,True
