Distance (yards),Tee,Fairway,Rough,Sand,Recovery
20,2.4,2.59,2.53,2.53,2.53
40,2.6,2.78,2.82,2.82,2.82
60,2.7,2.91,3.15,3.15,3.15
80,2.75,2.96,3.24,3.24,3.24
100,2.92,2.8,3.02,3.23,3.8
120,2.99,2.85,3.08,3.21,3.78
140,2.97,2.91,3.15,3.22,3.8
160,2.99,2.98,3.23,3.23,3.81
180,3.05,3.08,3.31,3.4,3.82
200,3.12,3.19,3.42,3.55,3.87
220,3.17,3.32,3.53,3.7,3.92
240,3.25,3.45,3.64,3.84,3.97
260,3.45,3.58,3.74,3.93,4.03
280,3.65,3.69,3.83,4.0,4.1
300,3.71,3.78,3.9,4.04,4.2
320,3.79,3.84,3.95,4.12,4.31
340,3.86,3.88,4.02,4.26,4.44
360,3.92,3.95,4.11,4.41,4.56
380,3.96,4.03,4.21,4.55,4.66
400,3.99,4.11,4.3,4.69,4.75
420,4.02,4.15,4.34,4.73,4.79
440,4.08,4.2,4.39,4.78,4.84
460,4.17,4.29,4.48,4.87,4.93
480,4.28,4.4,4.59,4.98,5.04
500,4.41,4.53,4.72,5.11,5.17
520,4.54,4.66,4.85,5.24,5.3
540,4.65,4.78,4.97,5.36,5.42
560,4.74,4.86,5.05,5.44,5.5
580,4.79,4.91,5.1,5.49,5.55
600,4.82,4.94,5.13,5.52,5.58
